State,Democrats,Republicans,Bernie_Sanders,Hillary_Clinton,Donald_Trump
Alabama,386327,837632,76399,309928,371735
Alaska,539,21930,440,99,7346
Arizona,399097,435103,163400,235697,249916
Arkansas,209448,396523,64868,144580,133144
California,3442623,1495574,1502043,1940580,1174829
Colorado,768542,0,719286,49256,0
Connecticut,322485,208817,152410,170075,123367
Delaware,92609,67807,36659,55950,42472
Florida,1664003,2276926,566603,1097400,1077221
Georgia,757340,1275601,214332,543008,501707
Hawaii,35658,13228,25531,10127,5677
Idaho,23705,215284,18640,5065,62478
Illinois,1987834,1384703,975659,1012175,551460
Indiana,638638,1090653,335256,303382,590460
Iowa,135185,186724,65452,69733,45419
Kansas,39043,72253,26450,12593,17062
Kentucky,423176,225709,210626,212550,82493
Louisiana,293855,291926,72240,221615,124818
Maine,3415,0,2201,1214,0
Maryland,814522,418750,281275,533247,236623
Massachusetts,1189148,614668,585364,603784,311313
Michigan,1172159,1259094,595364,576795,483751
Mississippi,218789,396504,36342,182447,191755
Missouri,619876,911999,309274,310602,382093
Montana,118362,139154,63168,55194,114056
Nebraska,33460,180213,19120,14340,121287
Nevada,11937,74878,5641,6296,34531
New Hampshire,246836,279130,151584,95252,100406
New Jersey,877496,443724,323259,554237,356697
New Mexico,214307,95225,103856,110451,73530
New York,1817552,868987,763469,1054083,524932
North Carolina,1076699,1109048,460316,616383,458151
North Dakota,354,0,253,101,0
Ohio,1192815,2011357,513549,679266,727585
Oklahoma,313392,452731,174054,139338,130141
Oregon,536485,361490,320746,215739,240804
Pennsylvania,1638644,1537696,719955,918689,892702
Rhode Island,119213,60381,66720,52493,39059
South Carolina,367491,737917,95977,271514,239851
South Dakota,53004,66877,25958,27046,44866
Tennessee,365637,834939,120333,245304,332702
Texas,1410641,2737248,475561,935080,757618
Utah,76999,177204,61333,15666,24864
Vermont,134198,58762,115863,18335,19968
Virginia,778865,1012807,275507,503358,355960
Washington,26299,510851,19159,7140,403003
West Virginia,210214,188138,123860,86354,156245
Wisconsin,1000703,1072669,567936,432767,386370
Wyoming,255,903,131,124,70